id,name,stars_out_of_5,avg_cost_range,cuisine
1,Sunset Spoon,4.6,$$$,Contemporary American
2,Nori & Nectar,3.8,$$$,Japanese Fusion
3,La Pomme Rouge,5.0,$$$$,French Bistro
4,Taqueria Sol,4.1,$,Mexican
5,Curry Plains,2.9,$$,Indian
6,Mama's Pierogi,4.3,$,Eastern European
7,Olive & Ember,4.9,$$$,Mediterranean
8,Green Table Vegan,3.4,$$,Vegan
9,The Coal Oven,4.0,$$,Pizza / Italian
10,Bamboo Alley,4.7,$$,Thai
11,Seoul Street Bites,3.6,$$,Korean
12,Savory Stack,2.7,$,Breakfast / Diner
13,Spice Harbor,4.2,$$,Caribbean
14,Nordic Nook,5.0,$$$$,Scandinavian
15,Bao & Brew,3.9,$,Street Food / Asian
